"","City","ID","year","seas","variable","value"
"135","LUCKNOW/AMAUSI(A)","42369",2003,"DJF","Prec",1.04222222222222
"136","LUCKNOW/AMAUSI(A)","42369",2004,"DJF","Prec",0.581111111111111
"137","LUCKNOW/AMAUSI(A)","42369",2005,"DJF","Prec",0.201123595505618
"138","LUCKNOW/AMAUSI(A)","42369",2006,"DJF","Prec",0.0533333333333333
"139","LUCKNOW/AMAUSI(A)","42369",2007,"DJF","Prec",0.773333333333333
"140","LUCKNOW/AMAUSI(A)","42369",2008,"DJF","Prec",0.0263736263736264
"141","LUCKNOW/AMAUSI(A)","42369",2009,"DJF","Prec",0.117777777777778
"142","LUCKNOW/AMAUSI(A)","42369",2010,"DJF","Prec",0.29438202247191
"143","LUCKNOW/AMAUSI(A)","42369",2011,"DJF","Prec",0.155555555555556
"144","LUCKNOW/AMAUSI(A)","42369",2012,"DJF","Prec",1.11098901098901
"145","LUCKNOW/AMAUSI(A)","42369",2013,"DJF","Prec",1.72666666666667
"146","LUCKNOW/AMAUSI(A)","42369",2014,"DJF","Prec",1.01222222222222
"147","LUCKNOW/AMAUSI(A)","42369",2015,"DJF","Prec",0.8
"148","LUCKNOW/AMAUSI(A)","42369",2016,"DJF","Prec",0.148351648351648
"149","LUCKNOW/AMAUSI(A)","42369",2017,"DJF","Prec",NA
"150","LUCKNOW/AMAUSI(A)","42369",2018,"DJF","Prec",NA
"151","GUWAHATI / BORJHAR(A)","42410",1969,"DJF","Prec",0.247777777777778
"152","GUWAHATI / BORJHAR(A)","42410",1970,"DJF","Prec",0.506666666666667
"153","GUWAHATI / BORJHAR(A)","42410",1971,"DJF","Prec",0.127777777777778
"154","GUWAHATI / BORJHAR(A)","42410",1972,"DJF","Prec",0.438461538461538
"155","GUWAHATI / BORJHAR(A)","42410",1973,"DJF","Prec",0.479545454545455
"156","GUWAHATI / BORJHAR(A)","42410",1974,"DJF","Prec",0.324719101123596
"157","GUWAHATI / BORJHAR(A)","42410",1975,"DJF","Prec",0.0922222222222222
